main_category,currency,goal,pledged,state,backers,country,2 pledged,2_pledged_real,2_goal_real
1,2,1000,0,0,0,1,0,0,1533.95
2,1,30000,2421,0,15,2,100,2421,30000
2,1,45000,220,0,3,2,220,220,45000
3,1,5000,1,0,1,2,1,1,5000
2,1,19500,1283,0,14,2,1283,1283,19500
4,1,50000,52375,1,224,2,52375,52375,50000
4,1,1000,1205,1,16,2,1205,1205,1000
4,1,25000,453,0,40,2,453,453,25000
5,1,125000,8233,0,58,2,8233,8233,125000
2,1,65000,6240.57,0,43,2,6240.57,6240.57,65000
1,4,2500,0,0,0,3,0,0,2406.39
3,1,12500,12700,1,100,2,12700,12700,12500
6,1,5000,0,0,0,2,0,0,5000
7,1,200000,0,0,0,2,0,0,200000
7,2,5000,94175,1,761,1,57763.78,121857.33,6469.73
5,1,2500,664,0,11,2,664,664,2500
1,1,1500,395,0,16,2,395,395,1500
1,1,3000,789,0,20,2,789,789,3000
3,1,250,250,1,7,2,250,250,250
4,1,5000,1781,0,40,2,1781,1781,5000
8,1,20000,34268,1,624,2,34268,34268,20000
8,4,2500,1,0,1,4,0,0.81,2026.1
9,1,3500,650,0,12,2,650,650,3500
4,4,500,48,0,3,6,6.18,6.29,65.55
1,1,175,701.66,1,66,2,701.66,701.66,175
3,1,10000,15827,1,147,2,15827,15827,10000
6,2,12000,0,0,0,1,0,0,17489.65
2,4,17757,48905,1,571,3,43203.25,42174.03,15313.04
1,2,100,112.38,1,27,1,167.7,160.6,142.91
2,1,50000,57577.31,1,840,2,10120,57577.31,50000
4,2,3500,21,0,1,1,32.42,31.09,5181.12
5,1,1000,47266,1,549,2,11253,47266,1000
5,4,2000,2000,1,18,4,1473.62,1427.35,1427.35
10,1,25000,1395,0,30,2,1395,1395,25000
3,1,12000,13260,1,92,2,13260,13260,12000
2,1,10000,1373.37,0,54,2,1373.37,1373.37,10000
3,1,4000,8641.34,1,157,2,8641.34,8641.34,4000
2,1,10000,15663,1,213,2,15663,15663,10000
10,1,3000,17,0,2,2,17,17,3000
3,1,15000,17499.99,1,277,2,17499.99,17499.99,15000
1,4,3000,592,1,24,3,185.65,472.88,2396.36
3,1,2100,2100,1,34,2,83,2100,2100
11,1,15000,23907,1,232,2,23907,23907,15000
7,1,1500,856,0,25,2,324,856,1500
3,1,10000,12656,1,181,2,12656,12656,10000
2,1,2500,0,0,0,2,0,0,2500
4,1,40000,63401,1,855,2,63401,63401,40000
2,1,8000,9401,1,154,2,9401,9401,8000
7,1,3000,8105,1,218,2,8105,8105,3000
10,1,1200,90,0,4,2,90,90,1200
2,1,60000,61365.16,1,632,2,61365.16,61365.16,60000
11,1,9500,6,0,2,2,5,6,9500
10,1,7500,3,0,3,2,3,3,7500
11,1,4000,4866.17,1,71,2,4866.17,4866.17,4000
2,1,11000,11055,1,51,2,11055,11055,11000
4,1,13750,1,0,1,2,1,1,13750
1,1,13500,0,0,0,2,0,0,13500
2,1,9500,9660,1,121,2,9660,9660,9500
2,1,60000,635,0,5,2,635,635,60000
7,1,25000,37199,1,448,2,37199,37199,25000
2,1,250000,65,0,2,2,65,65,250000
8,3,12000,137,0,2,6,0,150.73,13202.34
10,1,5000,587,0,8,2,587,587,5000
4,1,15000,124998,1,2784,2,124998,124998,15000
3,1,850,485,0,13,2,485,485,850
12,4,50000,0,0,0,3,0,0,39739.31
9,1,15000,15425,1,144,2,15425,15425,15000
12,2,2000,0,0,0,1,0,0,2579.35
5,4,15000,700,0,6,3,553.32,535.09,11466.14
6,2,5000,2,0,1,1,2.98,3.09,7716.41
